Condition,Trial,Stim_place,Stimuli_file,Condition_1.thisRepN,Condition_1.thisTrialN,Condition_1.thisN,Condition_1.thisIndex,Second_Condition.thisRepN,Second_Condition.thisTrialN,Second_Condition.thisN,Second_Condition.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_3.started,text_3.stopped,image.started,image.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,16.86959750019014,None,y,77.99927279981785,16.86959750019014,None,,,,,,,,,,,,,,,T3,001,2021_Dec_01_1433,Circle_SDT,2021.2.3,60.016984838223365,
Still,go,"(0, 0)",grey_circle.png,0,0,0,9,,,,,,,,,,,95.38400970003568,96.38463620003313,96.88972530001774,97.15138459997252,space,0.77923130011186,96.88972530001774,None,,,,,,,T3,001,2021_Dec_01_1433,Circle_SDT,2021.2.3,60.016984838223365,
Still,go,"(0, 0)",grey_circle.png,0,1,1,10,,,,,,,,,,,98.18474290007725,99.18474799999967,99.68484820006415,99.9347922001034,space,0.4321015998721123,99.68484820006415,None,,,,,,,T3,001,2021_Dec_01_1433,Circle_SDT,2021.2.3,60.016984838223365,
Still,go,"(0, 0)",grey_circle.png,0,2,2,7,,,,,,,,,,,100.6345874001272,101.63476190017536,102.13460360001773,102.38460130011663,space,0.510533900000155,102.13460360001773,None,,,,,,,T3,001,2021_Dec_01_1433,Circle_SDT,2021.2.3,60.016984838223365,
Still,no-go,"(0, 0)",grey_square.png,0,3,3,21,,,,,,,,,,,103.16810220014304,104.16793470014818,104.66820139996707,104.9182504999917,None,,104.66820139996707,None,,,,,,,T3,001,2021_Dec_01_1433,Circle_SDT,2021.2.3,60.016984838223365,
Still,no-go,"(0, 0)",grey_square.png,0,4,4,17,,,,,,,,,,,106.65151840006001,107.65135490009561,108.15153990010731,108.40145880007185,None,,108.15153990010731,106.16774430009536,,,,,,,T3,001,2021_Dec_01_1433,Circle_SDT,2021.2.3,60.016984838223365,
Still,no-go,"(0, 0)",grey_square.png,0,5,5,20,,,,,,,,,,,110.13460300001316,111.13460530014709,111.6348073000554,111.88495590002276,None,,111.6348073000554,109.65119900018908,,,,,,,T3,001,2021_Dec_01_1433,Circle_SDT,2021.2.3,60.016984838223365,
Still,no-go,"(0, 0)",grey_square.png,0,6,6,22,,,,,,,,,,,113.61773709999397,114.6181138001848,115.11826530005783,115.36841350002214,None,,115.11826530005783,113.13420130009763,,,,,,,T3,001,2021_Dec_01_1433,Circle_SDT,2021.2.3,60.016984838223365,
Still,no-go,"(0, 0)",grey_square.png,0,7,7,30,,,,,,,,,,,117.10145890014246,118.10140709998086,118.60147690004669,118.85150920017622,None,,118.60147690004669,116.61755320010707,,,,,,,T3,001,2021_Dec_01_1433,Circle_SDT,2021.2.3,60.016984838223365,
Still,no-go,"(0, 0)",grey_square.png,0,8,8,16,,,,,,,,,,,120.58480880013667,121.58489660010673,122.0848920000717,122.33482230012305,None,,122.0848920000717,120.1011980001349,,,,,,,T3,001,2021_Dec_01_1433,Circle_SDT,2021.2.3,60.016984838223365,
Still,go,"(0, 0)",grey_circle.png,0,9,9,2,,,,,,,,,,,124.06797550013289,125.06808570004068,125.56825969996862,125.81827290006913,space,0.40532130002975464,125.56825969996862,123.58478470006958,,,,,,,T3,001,2021_Dec_01_1433,Circle_SDT,2021.2.3,60.016984838223365,
