Condition,Trial,Stim_place,Stimuli_file,Condition_1.thisRepN,Condition_1.thisTrialN,Condition_1.thisN,Condition_1.thisIndex,Second_Condition.thisRepN,Second_Condition.thisTrialN,Second_Condition.thisN,Second_Condition.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_3.started,text_3.stopped,image.started,image.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,key_resp_2.rt,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,15.739683399908245,None,y,64.44283050019294,15.739683399908245,None,,,,,,,,,,,,,,,T1,001,2021_Dec_01_1422,Circle_SDT,2021.2.3,59.98836219705252,
Still,no-go,"(0, 0)",grey_square.png,0,0,0,21,,,,,,,,,,,80.7103154999204,81.71040929993615,82.22319140005857,82.47719949996099,None,82.22319140005857,None,,,,,,,,T1,001,2021_Dec_01_1422,Circle_SDT,2021.2.3,59.98836219705252,
Still,go,"(0, 0)",grey_circle.png,0,1,1,8,,,,,,,,,,,84.21025480004027,85.21033610007726,85.71033239993267,85.95983420009725,space,85.71033239993267,None,0.2645962000824511,,,,,,,T1,001,2021_Dec_01_1422,Circle_SDT,2021.2.3,59.98836219705252,
Still,no-go,"(0, 0)",grey_square.png,0,2,2,23,,,,,,,,,,,86.47707800008357,87.47706410009414,87.97681139991619,88.22716720006429,None,87.97681139991619,None,,,,,,,,T1,001,2021_Dec_01_1422,Circle_SDT,2021.2.3,59.98836219705252,
Still,go,"(0, 0)",grey_circle.png,0,3,3,11,,,,,,,,,,,89.96035060007125,90.96040580002591,91.4597920998931,91.71036670007743,space,91.4597920998931,89.47723100008443,0.3229196001775563,,,,,,,T1,001,2021_Dec_01_1422,Circle_SDT,2021.2.3,59.98836219705252,
Still,go,"(0, 0)",grey_circle.png,0,4,4,0,,,,,,,,,,,92.31038159993477,93.31035850010812,93.81037129997276,94.06035010004416,space,93.81037129997276,None,0.3562241999898106,,,,,,,T1,001,2021_Dec_01_1422,Circle_SDT,2021.2.3,59.98836219705252,
Still,no-go,"(0, 0)",grey_square.png,0,5,5,25,,,,,,,,,,,94.6937802999746,95.69352740002796,96.19381200009957,96.44349170010537,None,96.19381200009957,None,,,,,,,,T1,001,2021_Dec_01_1422,Circle_SDT,2021.2.3,59.98836219705252,
Still,go,"(0, 0)",grey_circle.png,0,6,6,1,,,,,,,,,,,98.17710290011019,99.17713019996881,99.67703039990738,99.92712470004335,space,99.67703039990738,97.69404019997455,0.3136281999759376,,,,,,,T1,001,2021_Dec_01_1422,Circle_SDT,2021.2.3,59.98836219705252,
Still,no-go,"(0, 0)",grey_square.png,0,7,7,19,,,,,,,,,,,100.50981039996259,101.51034069992602,102.01020110002719,102.26029399991967,None,102.01020110002719,None,,,,,,,,T1,001,2021_Dec_01_1422,Circle_SDT,2021.2.3,59.98836219705252,
Still,go,"(0, 0)",grey_circle.png,0,8,8,10,,,,,,,,,,,103.99369650008157,104.99371409998275,105.49378550006077,105.74406230007298,space,105.49378550006077,103.5107470001094,0.2568526000250131,,,,,,,T1,001,2021_Dec_01_1422,Circle_SDT,2021.2.3,59.98836219705252,
