Condition,Trial,Stim_place,Stimuli_file,Condition_1.thisRepN,Condition_1.thisTrialN,Condition_1.thisN,Condition_1.thisIndex,Second_Condition.thisRepN,Second_Condition.thisTrialN,Second_Condition.thisN,Second_Condition.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_3.started,text_3.stopped,image.started,image.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,key_resp_2.rt,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,105.33825910021551,None,y,358.39798919996247,105.33825910021551,None,,,,,,,,,,,,,,,T4,001,2021_Dec_01_1443,Circle_SDT,2021.2.3,59.95674719430056,
Still,no-go,"(0, 0)",grey_square.png,0,0,0,29,,,,,,,,,,,464.26904790010303,465.26920470013283,465.7845742001664,466.03583170007914,None,465.7845742001664,None,,,,,,,,T4,001,2021_Dec_01_1443,Circle_SDT,2021.2.3,59.95674719430056,
Still,go,"(0, 0)",grey_circle.png,0,1,1,10,,,,,,,,,,,467.7524114002008,468.7523298000451,469.25266870018095,469.5025141001679,space,469.25266870018095,None,0.2916528000496328,,,,,,,T4,001,2021_Dec_01_1443,Circle_SDT,2021.2.3,59.95674719430056,
Still,go,"(0, 0)",grey_circle.png,0,2,2,11,,,,,,,,,,,470.06907240021974,471.06901150010526,471.5691677001305,471.8190649000462,space,471.5691677001305,None,0.32723889988847077,,,,,,,T4,001,2021_Dec_01_1443,Circle_SDT,2021.2.3,59.95674719430056,
Still,no-go,"(0, 0)",grey_square.png,0,3,3,30,,,,,,,,,,,472.41906720004044,473.4191811000928,473.919078100007,474.1694601001218,None,473.919078100007,None,,,,,,,,T4,001,2021_Dec_01_1443,Circle_SDT,2021.2.3,59.95674719430056,
Still,go,"(0, 0)",grey_circle.png,0,4,4,2,,,,,,,,,,,475.90242600021884,476.90238370001316,477.40253020008095,477.65243810019456,space,477.40253020008095,475.41947090020403,0.2697437999304384,,,,,,,T4,001,2021_Dec_01_1443,Circle_SDT,2021.2.3,59.95674719430056,
Still,no-go,"(0, 0)",grey_square.png,0,5,5,18,,,,,,,,,,,478.2025163001381,479.20253810007125,479.7025789001491,479.9523499000352,None,479.7025789001491,None,,,,,,,,T4,001,2021_Dec_01_1443,Circle_SDT,2021.2.3,59.95674719430056,
Still,no-go,"(0, 0)",grey_square.png,0,6,6,16,,,,,,,,,,,481.68577160011046,482.6857824001927,483.18585990020074,483.4358745000791,None,483.18585990020074,481.2026733001694,,,,,,,,T4,001,2021_Dec_01_1443,Circle_SDT,2021.2.3,59.95674719430056,
Still,go,"(0, 0)",grey_circle.png,0,7,7,3,,,,,,,,,,,485.1692802000325,486.1692055000458,486.6692189001478,486.9192169001326,space,486.6692189001478,484.68612420000136,0.3152435999363661,,,,,,,T4,001,2021_Dec_01_1443,Circle_SDT,2021.2.3,59.95674719430056,
Still,go,"(0, 0)",grey_circle.png,0,8,8,0,,,,,,,,,,,487.5024677000474,488.5023050000891,489.00245340005495,489.2524644001387,space,489.00245340005495,None,0.39805589988827705,,,,,,,T4,001,2021_Dec_01_1443,Circle_SDT,2021.2.3,59.95674719430056,
